Level,Date,Time,EventID,TaskCategory,Info
Information, 5/22/2014, 8:48:34 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/22/2014, 8:48:34 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/22/2014, 8:48:33 AM, 7036, None, The DNS Client service entered the stopped state.
Information, 5/22/2014, 8:48:31 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/22/2014, 8:48:31 AM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/22/2014, 8:48:30 AM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/22/2014, 8:48:28 AM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/22/2014, 8:48:25 AM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T13:48:25.500000000Z from ‎2014‎-‎05‎-‎22T05:49:36.231444100Z.
Information, 5/22/2014, 12:48:59 AM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/22/2014, 12:48:59 AM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T05:48:42.663613400Z
Information, 5/22/2014, 12:48:58 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/22/2014, 12:48:58 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/22/2014, 12:48:57 AM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/22/2014, 12:48:53 AM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T05:48:53.500000000Z from ‎2014‎-‎05‎-‎22T05:48:49.463002300Z.
Information, 5/22/2014, 12:48:53 AM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/22/2014, 12:45:29 AM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/22/2014, 12:38:45 AM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T05:36:34.436605400Z
Information, 5/22/2014, 12:38:44 AM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/22/2014, 12:38:42 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/22/2014, 12:38:41 AM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/22/2014, 12:38:41 AM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/22/2014, 12:38:41 AM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/22/2014, 12:38:37 AM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T05:38:37.500000000Z from ‎2014‎-‎05‎-‎22T05:36:48.709421700Z.
Information, 5/22/2014, 12:36:14 AM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/22/2014, 12:35:18 AM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/22/2014, 12:34:40 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/22/2014, 12:33:18 AM, 7036, None, The Windows Error Reporting Service service entered the running state.
Information, 5/22/2014, 12:31:13 AM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/22/2014, 12:21:23 AM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/22/2014, 12:19:23 AM, 7036, None, The Windows Error Reporting Service service entered the running state.
Warning, 5/22/2014, 12:18:17 AM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/22/2014, 12:18:10 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/22/2014, 12:12:01 AM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/22/2014, 12:12:00 AM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/22/2014, 12:07:34 AM, 7040, None, The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information, 5/22/2014, 12:04:30 AM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/22/2014, 12:00:08 AM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/21/2014, 11:58:08 PM, 7036, None, The Windows Error Reporting Service service entered the running state.
Information, 5/21/2014, 11:50:48 PM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/21/2014, 11:48:48 PM, 7036, None, The Windows Error Reporting Service service entered the running state.
Warning, 5/21/2014, 11:48:06 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 11:48:00 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 11:47:59 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 11:42:45 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 11:34:22 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 11:25:06 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 11:18:58 PM, 7036, None, The Windows Modules Installer service entered the stopped state.
Information, 5/21/2014, 11:18:57 PM, 7040, None, The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information, 5/21/2014, 11:18:56 PM, 7040, None, The start type of the Windows Modules Installer service was changed from demand start to auto start.
Warning, 5/21/2014, 11:17:57 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 11:17:36 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 11:16:43 PM, 7036, None, The Windows Error Reporting Service service entered the stopped state.
Information, 5/21/2014, 11:14:43 PM, 7036, None, The Windows Error Reporting Service service entered the running state.
Information, 5/21/2014, 11:12:02 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 11:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 11:08:57 PM, 19, Windows, Update Agent Installation Successful: Windows successfully installed the following update: Definition Update for Microsoft Security Essentials - KB2310138 (Definition 1.175.151.0)
Information, 5/21/2014, 11:08:27 PM, 2000, None, Current Signature Version: 1.175.151.0
Information, 5/21/2014, 11:08:27 PM, 2000, None, Current Signature Version: 1.175.151.0
Information, 5/21/2014, 11:08:20 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 11:07:36 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 11:07:13 PM, 7040, None, The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information, 5/21/2014, 11:06:29 PM, 7036, None, The Windows Modules Installer service entered the running state.
Information, 5/21/2014, 11:05:52 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 11:05:06 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 11:04:15 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 10:59:40 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 10:54:30 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 10:54:15 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 10:52:53 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 10:47:52 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Warning, 5/21/2014, 10:47:49 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 10:47:47 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T03:38:57.664508400Z
Information, 5/21/2014, 10:47:47 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 10:47:46 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/21/2014, 10:47:45 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 10:47:43 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 10:47:43 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 10:47:42 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T03:47:42.500000000Z from ‎2014‎-‎05‎-‎22T03:39:02.434781300Z.
Information, 5/21/2014, 10:31:30 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 10:27:06 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 10:26:12 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 10:26:08 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 10:26:08 PM, 7036, None, The DNS Client service entered the running state.
Information, 5/21/2014, 10:26:08 PM, 7036, None, The DNS Client service entered the stopped state.
Information, 5/21/2014, 10:26:07 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T02:41:36.945661500Z
Information, 5/21/2014, 10:26:07 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Warning, 5/21/2014, 10:26:06 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 10:26:04 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 10:26:03 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 10:26:03 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 10:25:59 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T03:25:59.500000000Z from ‎2014‎-‎05‎-‎22T02:41:47.270252100Z.
Information, 5/21/2014, 10:26:03 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/21/2014, 9:40:25 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 9:34:17 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 9:32:27 PM, 7036, None, The Google Update Service (gupdate) service entered the stopped state.
Information, 5/21/2014, 9:32:24 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 9:32:24 PM, 7036, None, The Google Update Service (gupdate) service entered the running state.
Information, 5/21/2014, 9:30:25 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 9:23:58 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 9:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 9:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Warning, 5/21/2014, 9:07:34 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 9:07:28 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 9:05:47 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 8:57:38 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 8:47:38 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 8:29:03 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 8:24:05 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 8:19:04 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 8:19:03 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 8:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 8:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 8:07:35 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 8:03:18 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 8:02:20 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 8:02:09 PM, 7036, None, The DNS Client service entered the running state.
Information, 5/21/2014, 8:02:09 PM, 7036, None, The DNS Client service entered the stopped state.
Information, 5/21/2014, 8:02:09 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎22T00:10:15.616998500Z
Information, 5/21/2014, 8:02:08 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 8:02:07 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 8:02:07 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 8:02:06 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 8:02:07 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/21/2014, 8:02:04 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 8:02:03 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎22T01:02:03.500000000Z from ‎2014‎-‎05‎-‎22T00:10:24.267493300Z.
Information, 5/21/2014, 7:03:07 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 6:55:15 PM, 7036, None, The DNS Client service entered the running state.
Information, 5/21/2014, 6:55:15 PM, 7036, None, The DNS Client service entered the stopped state.
Information, 5/21/2014, 6:55:14 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Warning, 5/21/2014, 6:55:13 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 6:55:12 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T23:07:25.410432300Z
Information, 5/21/2014, 6:55:11 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 6:55:10 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Warning, 5/21/2014, 6:55:10 PM, 1014, None, Name resolution for the name wpad.uccnac246.loc timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 6:55:09 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 6:55:08 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 6:55:07 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 6:55:07 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 6:55:07 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 6:55:06 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎21T23:55:06.500000000Z from ‎2014‎-‎05‎-‎21T23:07:27.778567800Z.
Information, 5/21/2014, 6:55:07 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Warning, 5/21/2014, 6:05:55 PM, 1014, None, Name resolution for the name talkgadget.google.com timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 6:05:53 PM, 7036, None, The Computer Browser service entered the running state.
Warning, 5/21/2014, 6:05:52 PM, 1014, None, Name resolution for the name safebrowsing.google.com timed out after none of the configured DNS servers responded.
Warning, 5/21/2014, 6:05:46 PM, 1014, None, Name resolution for the name clients6.google.com timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 6:05:45 PM, 7036, None, The Computer Browser service entered the stopped state.
Information, 5/21/2014, 6:05:43 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/21/2014, 6:05:41 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 6:05:41 PM, 8033, None, The browser has forced an election on network \Device\NetBT_Tcpip_{DF8FF65E-C37A-4A7B-8D57-C26916DA418A} because a master browser was stopped.
Information, 5/21/2014, 6:05:03 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Warning, 5/21/2014, 6:05:01 PM, 1014, None, Name resolution for the name clients6.google.com timed out after none of the configured DNS servers responded.
Information, 5/21/2014, 6:04:49 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 6:04:47 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T22:01:34.222348000Z
Information, 5/21/2014, 6:04:47 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 6:04:42 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 6:04:41 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 6:04:41 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 6:04:40 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎21T23:04:40.500000000Z from ‎2014‎-‎05‎-‎21T22:01:36.400472600Z.
Information, 5/21/2014, 4:49:02 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 4:32:35 PM, 7036, None, The Google Update Service (gupdate) service entered the stopped state.
Information, 5/21/2014, 4:32:32 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 4:32:32 PM, 7036, None, The Google Update Service (gupdate) service entered the running state.
Information, 5/21/2014, 4:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 4:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 3:35:17 PM, 7036, None, The Office 64 Source Engine service entered the stopped state.
Information, 5/21/2014, 3:16:13 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 3:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 3:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 3:06:13 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 2:51:20 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 2:44:26 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 2:34:57 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 2:34:50 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 2:34:17 PM, 7036, None, The Office 64 Source Engine service entered the running state.
Information, 5/21/2014, 2:33:18 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 2:29:34 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 2:29:13 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 2:24:13 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 2:21:07 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 2:16:48 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 2:16:39 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 2:16:06 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 2:16:05 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T19:14:19.492780800Z
Information, 5/21/2014, 2:16:01 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 2:16:01 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 2:16:01 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 2:15:57 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎21T19:15:57.500000000Z from ‎2014‎-‎05‎-‎21T19:14:21.326885700Z.
Information, 5/21/2014, 2:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 2:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 2:09:10 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 2:07:42 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 2:02:31 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T19:01:40.854193700Z
Information, 5/21/2014, 2:02:29 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 2:02:27 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 2:02:27 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 2:02:26 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎21T19:02:26.500000000Z from ‎2014‎-‎05‎-‎21T19:01:43.087321500Z.
Information, 5/21/2014, 2:01:09 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 2:01:07 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T19:00:47.624632500Z
Information, 5/21/2014, 2:01:06 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 2:01:06 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 2:01:06 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
Information, 5/21/2014, 2:01:02 PM, 1, None, The system time has changed to ‎2014‎-‎05‎-‎21T19:01:02.500000000Z from ‎2014‎-‎05‎-‎21T19:00:51.412849200Z.
Information, 5/21/2014, 1:59:48 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 1:54:47 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 1:52:12 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 1:47:13 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 1:47:09 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 1:46:19 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 1:36:19 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 1:16:20 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 1:15:59 PM, 7040, None, The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information, 5/21/2014, 1:15:05 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information, 5/21/2014, 1:12:01 PM, 7036, None, The Adobe Flash Player Update Service service entered the stopped state.
Information, 5/21/2014, 1:12:00 PM, 7036, None, The Adobe Flash Player Update Service service entered the running state.
Information, 5/21/2014, 1:06:20 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 1:04:48 PM, 7036, None, The Application Experience service entered the stopped state.
Information, 5/21/2014, 1:02:27 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 12:55:50 PM, 7036, None, The Windows Connect Now - Config Registrar service entered the running state.
Information, 5/21/2014, 12:55:19 PM, 7036, None, The WebClient service entered the running state.
Information, 5/21/2014, 12:54:03 PM, 7036, None, The Application Experience service entered the running state.
Information, 5/21/2014, 12:48:56 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 12:47:23 PM, 7036, None, The Multimedia Class Scheduler service entered the stopped state.
Information, 5/21/2014, 12:45:05 PM, 7036, None, The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information, 5/21/2014, 12:42:22 PM, 7036, None, The Multimedia Class Scheduler service entered the running state.
Information, 5/21/2014, 12:42:19 PM, 1, None, Sleep Time: ‎2014‎-‎05‎-‎21T17:41:57.665228200Z
Information, 5/21/2014, 12:42:18 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the running state.
Information, 5/21/2014, 12:42:18 PM, 7036, None, The TCP/IP NetBIOS Helper service entered the stopped state.
Information, 5/21/2014, 12:42:15 PM, 7042, None, The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]
